LCOM5,11
NL,4
NLE,3
WMC,15
CBO,5
CBOI,9
NII,16
NOI,6
RFC,5
AD,8
CD,4
TCD,3
CLOC,6
TCLOC,10
DLOC,10
PDA,7
DIT,5
LOC,9
LLOC,6
TLLOC,6
TNA,10
NG,5
TNG,8
TNM,8
TNOS,7
TNPM,9
